year,province,Farm products,value
1990,Alberta,Dry peas [114314],5.3999999999999995
1990,Manitoba,Dry peas [114314],5.609999999999999
1990,Saskatchewan,Dry peas [114314],5.46
1990,Alberta,Dry peas [114314],5.3999999999999995
1990,Manitoba,Dry peas [114314],5.34
1990,Saskatchewan,Dry peas [114314],5.25
1990,Alberta,Dry peas [114314],5.52
1990,Manitoba,Dry peas [114314],5.34
1990,Saskatchewan,Dry peas [114314],5.25
1990,Alberta,Dry peas [114314],5.52
1990,Manitoba,Dry peas [114314],5.34
1990,Saskatchewan,Dry peas [114314],5.25
1990,Alberta,Dry peas [114314],5.52
1990,Manitoba,Dry peas [114314],5.34
1990,Saskatchewan,Dry peas [114314],5.25
1990,Alberta,Dry peas [114314],5.52
1990,Manitoba,Dry peas [114314],5.34
1990,Saskatchewan,Dry peas [114314],5.25
1990,Alberta,Dry peas [114314],5.52
1991,Manitoba,Dry peas [114314],5.34
1991,Saskatchewan,Dry peas [114314],5.25
1991,Alberta,Dry peas [114314],5.52
1991,Manitoba,Dry peas [114314],5.34
1991,Saskatchewan,Dry peas [114314],5.25
1991,Alberta,Dry peas [114314],5.52
1991,Manitoba,Dry peas [114314],5.34
1991,Saskatchewan,Dry peas [114314],5.25
1991,Alberta,Dry peas [114314],5.52
1991,Manitoba,Dry peas [114314],5.34
1991,Saskatchewan,Dry peas [114314],5.25
1991,Alberta,Dry peas [114314],5.52
1991,Manitoba,Dry peas [114314],5.34
1991,Saskatchewan,Dry peas [114314],5.25
1991,Alberta,Dry peas [114314],5.52
1991,Manitoba,Dry peas [114314],5.34
1991,Saskatchewan,Dry peas [114314],5.25
1991,Alberta,Dry peas [114314],5.52
1991,Manitoba,Dry peas [114314],5.34
1991,Saskatchewan,Dry peas [114314],5.25
1991,Alberta,Dry peas [114314],5.52
1991,Manitoba,Dry peas [114314],5.13
1991,Saskatchewan,Dry peas [114314],4.9799999999999995
1991,Alberta,Dry peas [114314],4.6499999999999995
1991,Manitoba,Dry peas [114314],5.13
1991,Saskatchewan,Dry peas [114314],4.9799999999999995
1991,Alberta,Dry peas [114314],4.6499999999999995
1991,Manitoba,Dry peas [114314],5.13
1991,Saskatchewan,Dry peas [114314],4.9799999999999995
1991,Alberta,Dry peas [114314],4.8
1991,Manitoba,Dry peas [114314],5.13
1991,Saskatchewan,Dry peas [114314],4.9799999999999995
1991,Alberta,Dry peas [114314],4.8
1991,Manitoba,Dry peas [114314],5.13
1991,Saskatchewan,Dry peas [114314],4.9799999999999995
1991,Alberta,Dry peas [114314],4.8
1992,Manitoba,Dry peas [114314],5.13
1992,Saskatchewan,Dry peas [114314],4.9799999999999995
1992,Alberta,Dry peas [114314],4.839
1992,Manitoba,Dry peas [114314],5.13
1992,Saskatchewan,Dry peas [114314],4.9799999999999995
1992,Alberta,Dry peas [114314],4.839
1992,Manitoba,Dry peas [114314],5.13
1992,Saskatchewan,Dry peas [114314],4.9799999999999995
1992,Alberta,Dry peas [114314],4.839
1992,Manitoba,Dry peas [114314],5.13
1992,Saskatchewan,Dry peas [114314],4.9799999999999995
1992,Alberta,Dry peas [114314],4.839
1992,Manitoba,Dry peas [114314],5.13
1992,Saskatchewan,Dry peas [114314],4.9799999999999995
1992,Alberta,Dry peas [114314],4.839
1992,Manitoba,Dry peas [114314],5.13
1992,Saskatchewan,Dry peas [114314],4.9799999999999995
1992,Alberta,Dry peas [114314],4.839
1992,Manitoba,Dry peas [114314],5.13
1992,Saskatchewan,Dry peas [114314],4.9799999999999995
1992,Alberta,Dry peas [114314],4.839
1992,Manitoba,Dry peas [114314],5.58
1992,Saskatchewan,Dry peas [114314],5.52
1992,Alberta,Dry peas [114314],5.3999999999999995
1992,Manitoba,Dry peas [114314],5.58
1992,Saskatchewan,Dry peas [114314],5.52
1992,Alberta,Dry peas [114314],5.3999999999999995
1992,Manitoba,Dry peas [114314],5.58
1992,Saskatchewan,Dry peas [114314],5.52
1992,Alberta,Dry peas [114314],5.3999999999999995
1992,Manitoba,Dry peas [114314],5.58
1992,Saskatchewan,Dry peas [114314],5.52
1992,Alberta,Dry peas [114314],5.3999999999999995
1992,Manitoba,Dry peas [114314],5.58
1992,Saskatchewan,Dry peas [114314],5.52
1992,Alberta,Dry peas [114314],5.3999999999999995
1993,Manitoba,Dry peas [114314],5.58
1993,Saskatchewan,Dry peas [114314],5.55
1993,Alberta,Dry peas [114314],5.5649999999999995
1993,Manitoba,Dry peas [114314],5.58
1993,Saskatchewan,Dry peas [114314],5.55
1993,Alberta,Dry peas [114314],5.5649999999999995
1993,Manitoba,Dry peas [114314],5.58
1993,Saskatchewan,Dry peas [114314],5.55
1993,Alberta,Dry peas [114314],5.5649999999999995
1993,Manitoba,Dry peas [114314],5.58
1993,Saskatchewan,Dry peas [114314],5.55
1993,Alberta,Dry peas [114314],5.5649999999999995
1993,Manitoba,Dry peas [114314],5.58
1993,Saskatchewan,Dry peas [114314],5.55
1993,Alberta,Dry peas [114314],5.5649999999999995
1993,Manitoba,Dry peas [114314],5.58
1993,Saskatchewan,Dry peas [114314],5.55
1993,Alberta,Dry peas [114314],5.5649999999999995
1993,Manitoba,Dry peas [114314],5.58
1993,Saskatchewan,Dry peas [114314],5.55
1993,Alberta,Dry peas [114314],5.5649999999999995
1993,Manitoba,Dry peas [114314],4.92
1993,Saskatchewan,Dry peas [114314],4.8
1993,Alberta,Dry peas [114314],4.83
1993,Manitoba,Dry peas [114314],5.13
1993,Saskatchewan,Dry peas [114314],4.74
1993,Alberta,Dry peas [114314],4.8
1993,Manitoba,Dry peas [114314],5.25
1993,Saskatchewan,Dry peas [114314],4.89
1993,Alberta,Dry peas [114314],4.89
1993,Manitoba,Dry peas [114314],5.22
1993,Saskatchewan,Dry peas [114314],4.95
1993,Alberta,Dry peas [114314],4.95
1993,Manitoba,Dry peas [114314],5.279999999999999
1993,Saskatchewan,Dry peas [114314],5.04
1993,Alberta,Dry peas [114314],5.1
1994,Manitoba,Dry peas [114314],5.55
1994,Saskatchewan,Dry peas [114314],5.25
1994,Alberta,Dry peas [114314],5.1
1994,Manitoba,Dry peas [114314],5.55
